id,cliente_id,valor,data,intervalo
2395,73,-3.0,2020-12-12 20:10:59-03:00,0 days 00:00:53
2396,73,-4.0,2020-12-12 20:12:46-03:00,0 days 00:01:47
2397,73,-2.0,2020-12-12 20:13:06-03:00,0 days 00:00:20
2406,73,-2.0,2020-12-12 20:32:10-03:00,0 days 00:00:56
2408,73,-1.0,2020-12-12 20:32:30-03:00,0 days 00:00:20
2410,73,-1.0,2020-12-12 20:33:19-03:00,0 days 00:00:49
2411,73,-1.0,2020-12-12 20:34:03-03:00,0 days 00:00:44
2412,73,-10.0,2020-12-12 20:34:27-03:00,0 days 00:00:24
2413,73,-5.0,2020-12-12 20:36:03-03:00,0 days 00:01:36
2414,73,-3.0,2020-12-12 20:37:29-03:00,0 days 00:01:26
2415,73,-1.0,2020-12-12 20:38:09-03:00,0 days 00:00:40
2416,73,-1.0,2020-12-12 20:38:42-03:00,0 days 00:00:33
2424,73,-2.0,2020-12-12 20:59:27-03:00,0 days 00:00:32
2425,73,-2.0,2020-12-12 20:59:56-03:00,0 days 00:00:29
2427,73,-8.0,2020-12-12 21:02:45-03:00,0 days 00:00:47
2428,73,-2.0,2020-12-12 21:03:39-03:00,0 days 00:00:54
2430,73,-5.0,2020-12-12 21:04:43-03:00,0 days 00:01:04
2431,73,-5.0,2020-12-12 21:05:49-03:00,0 days 00:01:06
2437,73,-2.0,2020-12-12 21:31:49-03:00,0 days 00:00:21
2438,73,-2.0,2020-12-12 21:32:11-03:00,0 days 00:00:22
2439,73,-1.0,2020-12-12 21:32:47-03:00,0 days 00:00:36
2446,73,-1.0,2020-12-12 22:00:11-03:00,0 days 00:00:48
2447,73,-1.0,2020-12-12 22:01:18-03:00,0 days 00:01:07
2448,73,-1.0,2020-12-12 22:01:52-03:00,0 days 00:00:34
2450,73,-2.0,2020-12-12 22:12:39-03:00,0 days 00:00:34
2453,73,-2.0,2020-12-12 22:28:03-03:00,0 days 00:00:33
2454,73,-2.0,2020-12-12 22:28:32-03:00,0 days 00:00:29
2491,73,-2.0,2020-12-15 19:40:43-03:00,0 days 00:00:31
2546,73,-2.0,2020-12-17 21:16:26-03:00,0 days 00:00:32
2551,73,-1.0,2020-12-17 21:39:28-03:00,0 days 00:00:37
2553,73,-2.0,2020-12-17 21:39:45-03:00,0 days 00:00:17
